Timestamp,Question,Predicted_Topic,Answer_Length,Faithfulness,Relevance,Context_Precision,Index_Dir,Index_Integrity_OK,Index_Integrity_Error,Dense_Ready,Dense_Error,Reranker_Ready,Reranker_Error
2026-02-12T23:22:32.538941,อยากรู้หลักการทำงานของคิววงกลม,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1217,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-12T23:24:03.442605,แล้วการดำเนินการแทนคิวด้วยอาร์เรย์ทำอย่างไร,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1174,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-12T23:29:39.390641,ต่อไปการดำเนินการแทนคิวด้วยวงกลมทำอย่างไร,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1180,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-12T23:35:05.902267,อยากรู้เรื่องทรีกับการดำเนินการด้านนิพจน์,other,2101,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-12T23:37:57.182177,อยากรู้เรื่องทรีชนิดไบนารี,other,1993,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-12T23:42:09.672347,อยากรู้เรื่องวิธีการทำไข่เจียว,other,451,0.0,0.0,0.0,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:50:18.490753,การดำเนินการแทนคิวด้วยวงกลมทำอย่างไร,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),892,0.0,0.0,0.0,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:51:25.469196,การดำเนินการแทนคิวด้วยวงกลม มีอยู่ใน 3.3.3 นะ,other,739,0.0,0.0,0.0,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:52:09.287402,อยากรู้โครงสร้างของการแทนคิวด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),2096,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:54:11.232636,แล้วโครงสร้างลิงค์ลิสต์แบบทิศทางเดียวคืออะไร,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1498,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:55:38.528984,แล้วการทำงานของลิงค์ลิสต์แบบทิศทางเดียวทำอย่างไร,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1903,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:56:42.707948,ต่อไปอยากรู้เรื่องโครงสร้างของการแทนคิวด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),2015,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T00:57:47.663724,แล้วการดำเนินการแทนคิวด้วยวงกลมล่ะ,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),2075,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T02:34:51.651301,ขอตัวอย่างไบนารีทรีหน่อย,other,937,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T02:38:06.628052,การเข้าถึงข้อมูลในไบนารีทรี,other,1239,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T10:52:05.411621,อยากรู้เรื่องการดำเนินการแทนคิวด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),294,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T10:53:27.316590,งั้นการดำเนินการแทนสแตกด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),558,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T10:55:03.916281,อยากรู้เรื่องทรีชนิดไบนารีทรี,other,172,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T10:55:48.614912,อยากทราบเรื่องการแปลงทรีเป็นไบนารีทรี,other,172,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-13T10:56:30.491847,โครงสร้างข้อมูลคืออะไร,หัวข้อที่ 1: โครงสร้างข้อมูลเบื้องต้น (Introduction to Data Structure),172,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T07:04:34.655684,โครงสร้างของการแทนคิวด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),554,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T07:09:27.369834,การดำเนินการแทนคิวด้วยวงกลม,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),575,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T07:11:41.827343,โครงสร้างลิงค์ลิสต์แบบทิศทางเดียว,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),526,0.5,0.5,0.5,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T07:49:49.441353,โครงสร้างของการแทนคิวด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),446,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T07:52:18.676571,การดำเนินการแทนคิวด้วยวงกลม,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1463,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T07:53:42.175518,โครงสร้างลิงค์ลิสต์แบบทิศทางเดียว,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),1928,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T08:15:14.398079,โครงสร้างของการแทนคิวด้วยอาร์เรย์,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),404,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
2026-02-14T08:16:56.447507,การดำเนินการแทนคิวด้วยวงกลม,หัวข้อที่ 2: อาร์เรย์และลิงค์ลิสต์ (Array and Linked list),387,0.8,0.9,0.7,C:\Users\Admin\typhoon_rag\indexes,True,,True,,True,
